# cfgfile = prep/Shapes_garpos.shapes-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M11,3.3512623,1.300317817064823e-08,41.818511480731274,-1.1143943506442007e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.3512623,0.0,500.0,0.0,1.56,-2.73,0.4,-0.01646418669920583,3.284554783928556e-05,0.0004201501370060292,-0.00013807220226193042,-0.0002488276669938834,-0.016526541632731415,3.880083643270638e-09
1,S01,L01,M12,3.6761267,-3.2450701418927067e-09,47.29678753470964,-1.0671273421730029e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.6761267,0.0,500.0,0.0,3.22,4.05,1.78,-0.016464183812992948,3.284661523600082e-05,0.00042014600178447625,-0.00013806663978865546,-0.000248825837565799,-0.015825568783306657,-8.827416575485358e-10
2,S01,L01,M13,3.1088489,1.9874471390628975e-08,36.62928508056876,-1.1065917526656637e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.1088489,0.0,500.0,0.0,0.21,-0.84,-2.76,-0.016464188852896442,3.284475134895899e-05,0.0004201532227039655,-0.0001380763529691317,-0.000248829032104667,-0.016410828590699915,6.392871426674773e-09
3,S01,L01,M11,3.3486148,3.0437905959472336e-09,41.767841553729,-1.1142604282189286e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.3486148,3.00342,499.99098,0.0,1.9,0.18,2.63,-0.016463653694065796,3.304267919590893e-05,0.00041938642470669554,-0.0001370448664081515,-0.0002484897547362833,-0.016524555554342256,9.089700658826416e-10
4,S01,L01,M12,3.6768211,-3.8474005872546085e-08,47.30681220645556,-1.0671778425668991e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.6768211,3.00342,499.99098,0.0,0.06,-0.56,3.34,-0.016463650778682427,3.304375757212241e-05,0.00041938224691905176,-0.0001370392464144038,-0.0002484879061292478,-0.01582631770747494,-1.0463932054172176e-08
5,S01,L01,M13,3.1108611,2.3475685180591154e-09,36.679148893402186,-1.1066252206652652e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.1108611,3.00342,499.99098,0.0,-0.87,-1.22,-1.97,-0.016463655805984453,3.304189801670158e-05,0.00041938945110924246,-0.00013704893755007077,-0.00024849109387460085,-0.01641132492333877,7.546362423838104e-10
6,S01,L01,M11,3.34592,4.7973985439312985e-08,41.716067446772286,-1.1141269450166312e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.34592,6.00672,499.96392,0.0,0.31,-0.2,-4.28,-0.01646312083172999,3.323981024619803e-05,0.0004186227059046045,-0.00013601753339068437,-0.0002481518690268511,-0.016522575989658745,1.4338054965534752e-08
7,S01,L01,M12,3.6775592,-2.484543620515244e-08,47.31741596076213,-1.0672287788260215e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.6775592,6.00672,499.96392,0.0,4.69,-1.18,-1.98,-0.01646311788697367,3.324089990130175e-05,0.0004186184843630569,-0.00013601185502465588,-0.00024815000187956816,-0.01582707309555324,-6.755958126269945e-09
8,S01,L01,M13,3.1128501,1.729133741095989e-08,36.728268039916856,-1.106659129230463e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.1128501,6.00672,499.96392,0.0,0.08,0.94,0.07,-0.01646312290126008,3.3239044456576764e-05,0.0004186256727261039,-0.00013602152404722283,-0.00024815318123277226,-0.01641182778959444,5.554824961118143e-09
9,S01,L01,M11,3.3432756,1.2226357935315819e-08,41.66522535912944,-1.1139939225235073e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.3432756,9.00982,499.91882,0.0,1.91,3.06,0.26,-0.016462588218889573,3.3436941424791445e-05,0.00041785897397701976,-0.00013499033024776878,-0.0002478142188624403,-0.01652060325732263,3.6569997030611034e-09
