# cfgfile = res//lambda/Shapes_garpos.shapes_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M11,3.3512623,2.6074327754484226e-08,41.81851256182358,-1.1159568328592664e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.3512623,0.0,500.0,0.0,1.56,-2.73,0.4,-0.016472571329993954,2.1941067031622202e-05,0.0004453280139250646,-0.00015406452650001517,-0.0002556291111200597,-0.01654971334691209,7.780449617911245e-09
1,S01,L01,M12,3.6761267,-1.505018958076563e-08,47.29678749829196,-1.0656485874489127e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.6761267,0.0,500.0,0.0,3.22,4.05,1.78,-0.016472568565478247,2.1942284702091174e-05,0.00044532375378652844,-0.00015405940459193792,-0.0002556279948785255,-0.015803638753332842,-4.094034555812698e-09
2,S01,L01,M13,3.1088489,3.066804049956645e-08,36.62928336612714,-1.1056598595246018e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.1088489,0.0,500.0,0.0,0.21,-0.84,-2.76,-0.01647257339287566,2.1940158407184698e-05,0.0004453311928358531,-0.00015406834845852683,-0.00025562994405297344,-0.016397008554027877,9.864757455346762e-09
3,S01,L01,M11,3.3486148,1.565886783969679e-08,41.76784263560074,-1.1158380489162933e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.3486148,3.00342,499.99098,0.0,1.9,0.18,2.63,-0.016472060804517817,2.2165951676351153e-05,0.0004445412312053206,-0.00015311855865802717,-0.00025542292408781673,-0.0165479517732127,4.676222520316742e-09
4,S01,L01,M12,3.6768211,-4.984203059034935e-08,47.306812169589136,-1.0656880183802788e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.6768211,3.00342,499.99098,0.0,0.06,-0.56,3.34,-0.016472058012050247,2.21671818731724e-05,0.00044453692721724324,-0.00015311338376218834,-0.0002554217961192912,-0.015804223516642586,-1.3555740030479768e-08
5,S01,L01,M13,3.1108611,1.2823072364194088e-08,36.679147182847714,-1.1057027912355544e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.1108611,3.00342,499.99098,0.0,-0.87,-1.22,-1.97,-0.01647206282739408,2.216506051781222e-05,0.00044454434902795737,-0.00015312230736901612,-0.0002554237411936932,-0.016397645234129506,4.122033103737266e-09
6,S01,L01,M11,3.34592,6.013673454239324e-08,41.716068529391436,-1.1157197190885025e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.34592,6.00672,499.96392,0.0,0.31,-0.2,-4.28,-0.016471550378548874,2.2390836146000576e-05,0.000443754444155248,-0.0001521725800590203,-0.0002552167757756066,-0.01654619693407138,1.797315352103368e-08
7,S01,L01,M12,3.6775592,-3.57758881267402e-08,47.317415923433686,-1.0657279006327488e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.6775592,6.00672,499.96392,0.0,4.69,-1.18,-1.98,-0.016471547557491757,2.2392079210397605e-05,0.0004437500951183309,-0.00015216735127533378,-0.0002552156368101343,-0.015804814973074028,-9.728160943467401e-09
8,S01,L01,M13,3.1128501,2.744660345294323e-08,36.728266333221086,-1.1057461818438391e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.1128501,6.00672,499.96392,0.0,0.08,0.94,0.07,-0.016471552361140573,2.2389962543145675e-05,0.0004437575005783971,-0.00015217625475564086,-0.00025521757622838274,-0.0163982887197088,8.81719408596382e-09
9,S01,L01,M11,3.3432756,2.3940148901706855e-08,41.665226442413484,-1.115601855190792e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.3432756,9.00982,499.91882,0.0,1.91,3.06,0.26,-0.01647104007404621,2.2615720874609517e-05,0.00044296765035639315,-0.0001512266868278468,-0.000255010855367399,-0.01654444900470384,7.160686599227972e-09
10,S01,L01,M12,3.6782428,-5.590890202725421e-08,47.32725945200306,-1.0657682112051941e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.6782428,9.00982,499.91882,0.0,0.52,1.1,1.62,-0.016471037225432257,2.2616976413544583e-05,0.0004429632576400963,-0.0001512214063613478,-0.00025500970683990556,-0.01580541278151892,-1.5199894565220973e-08
11,S01,L01,M13,3.1149274,2.363611778763258e-08,36.779468943236935,-1.1057900388977616e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.1149274,9.00982,499.91882,0.0,-0.58,-3.54,0.37,-0.016471042015961,2.2614864969562166e-05,0.00044297064488538803,-0.00015123028654612426,-0.00025501163833770504,-0.01639893912270763,7.588015604742537e-09
12,S01,L01,M11,3.3406689,7.017395906034697e-08,41.614879780405005,-1.1154844692357293e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.3406689,12.01258,499.85568,0.0,0.89,0.13,5.08,-0.016470529913906268,2.28406058833515e-05,0.00044218084883475305,-0.00015028097682641658,-0.00025480535242638916,-0.016542708163257255,2.1005960804121315e-08
13,S01,L01,M12,3.6789617,-3.228537790526997e-08,47.33756623194503,-1.065808927220524e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.6789617,12.01258,499.85568,0.0,-0.81,-0.44,-2.22,-0.01647052703789819,2.284187388872008e-05,0.00044217641246165323,-0.0001502756452791815,-0.00025480419545036897,-0.0158060166027085,-8.775676629824147e-09
