# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M11,3.3512623,1.179810413965613e-07,41.81855294060145,-1.1527765680182894e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.3512623,0.0,500.0,0.0,1.56,-2.73,0.4,-0.016915826062320265,-0.00013512324698132874,0.0005775386613753634,-0.00023736951456560613,-0.00042995131392749547,-0.017095752444884885,3.520495550635161e-08
1,S01,L01,M12,3.6761267,-1.1592313533381509e-07,47.29679084199057,-1.0712754894952802e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.6761267,0.0,500.0,0.0,3.22,4.05,1.78,-0.0169158229722397,-0.0001351213612413311,0.0005775333440618514,-0.00023737062585016307,-0.0004299530218443327,-0.015887086081362495,-3.153404276590166e-08
2,S01,L01,M13,3.1088489,1.0702299610789689e-07,36.62930463360945,-1.139519907199169e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.1088489,0.0,500.0,0.0,0.21,-0.84,-2.76,-0.016915828368135433,-0.00013512465411855018,0.0005775426291491517,-0.00023736868532539502,-0.0004299500394801865,-0.0168991552916316,3.442528057062688e-08
3,S01,L01,M11,3.3486148,1.0473279547050949e-07,41.76788303237123,-1.1528254002814955e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.3486148,3.00342,499.99098,0.0,1.9,0.18,2.63,-0.016915255376639533,-0.00013477498034254585,0.0005765566366678174,-0.00023757474674257167,-0.00043026673220855356,-0.017096476630565145,3.127645381573174e-08
4,S01,L01,M12,3.6768211,-1.4808976667877477e-07,47.30681550307247,-1.0712600773299225e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.6768211,3.00342,499.99098,0.0,0.06,-0.56,3.34,-0.0169152522548226,-0.00013477307520344114,0.0005765512646510528,-0.000237575869435377,-0.00043026845767953287,-0.015886857517934935,-4.0276576906972394e-08
5,S01,L01,M13,3.1108611,8.789250192309564e-08,36.67916845178311,-1.1395532097581754e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.1108611,3.00342,499.99098,0.0,-0.87,-1.22,-1.97,-0.016915257638094223,-0.00013477636043144876,0.0005765605281740399,-0.00023757393346076537,-0.00043026548227309173,-0.01689964917077553,2.8253431955116426e-08
6,S01,L01,M11,3.34592,1.4645522312463863e-07,41.71610894412319,-1.1528747918500523e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.34592,6.00672,499.96392,0.0,0.31,-0.2,-4.28,-0.016914684703035802,-0.00013442671397756982,0.0005755746121518441,-0.0002377799895668272,-0.0004305821800504651,-0.017097209110780595,4.377128604016178e-08
7,S01,L01,M12,3.6775592,-1.3139952349449825e-07,47.31741924659488,-1.0712452195539013e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.6775592,6.00672,499.96392,0.0,4.69,-1.18,-1.98,-0.016914681548645068,-0.00013442478891147528,0.0005755691839420399,-0.00023778112416954114,-0.00043058392396499296,-0.01588663717613776,-3.573009027535434e-08
8,S01,L01,M13,3.1128501,1.0124984723319328e-07,36.72828760349236,-1.139587071750495e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.1128501,6.00672,499.96392,0.0,0.08,0.94,0.07,-0.01691468691988436,-0.0001344280668787108,0.0005755784269980983,-0.00023777919219058208,-0.00043058095446329005,-0.016900151346352348,3.252641281314972e-08
9,S01,L01,M11,3.3432756,1.074791125990982e-07,41.665266874326534,-1.152924743246441e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.3432756,9.00982,499.91882,0.0,1.91,3.06,0.26,-0.01691411404536724,-0.00013407844731485737,0.0005745925859924228,-0.00023798527794159288,-0.0004308977324377646,-0.017097949893279674,3.214784688454486e-08
10,S01,L01,M12,3.6782428,-1.4891334694423312e-07,47.327262764988006,-1.0712309035449383e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.6782428,9.00982,499.91882,0.0,0.52,1.1,1.62,-0.016914110859429392,-0.00013407650293101764,0.0005745871033061712,-0.0002379864242915307,-0.0004308994946677568,-0.015886424868781744,-4.048491547559152e-08
11,S01,L01,M13,3.1149274,9.609249720820558e-08,36.779490215104374,-1.1396214926009565e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.1149274,9.00982,499.91882,0.0,-0.58,-3.54,0.37,-0.0169141162172324,-0.00013407977280776353,0.0005745963235577701,-0.00023798449647396887,-0.00043089653112627854,-0.016900661809832226,3.084903260619498e-08
