time,iso_string,NDP1-1,NDP1-2,NDP1-3
741009607.0,2023-06-26T00:00:07.000,-108058.48665707378,-278275.85183249356,-110111.78639316992
741009627.0,2023-06-26T00:00:27.000,-107104.62425627823,-279109.9869564604,-111360.49687790658
741009647.0,2023-06-26T00:00:47.000,-106489.83486621834,-279882.165616608,-112825.85326393138
741009667.0,2023-06-26T00:01:07.000,-105475.95370856662,-280710.09652892465,-114194.92542010218
741009687.0,2023-06-26T00:01:27.000,-104900.23799926664,-281962.0919477925,-115906.44194284409
741009707.0,2023-06-26T00:01:47.000,-103930.96499172367,-282708.7964173508,-117284.39837828676
741009727.0,2023-06-26T00:02:07.000,-103227.82854141507,-283445.2303437161,-118571.74159451877
741009747.0,2023-06-26T00:02:27.000,-102517.64513500693,-284252.4417893419,-119868.45036732091
741009767.0,2023-06-26T00:02:47.000,-101722.94691818903,-284881.46776193054,-121408.36619940736
741009787.0,2023-06-26T00:03:07.000,-100958.76262819358,-286007.44229968596,-122944.12872411104
741009807.0,2023-06-26T00:03:27.000,-100135.12558492909,-286493.9154364335,-124094.08764006173
741009827.0,2023-06-26T00:03:47.000,-99327.03570218508,-287437.21280795283,-125718.49200300004
741009847.0,2023-06-26T00:04:07.000,-98629.2828748909,-288094.4362774817,-127200.75689380008
741009867.0,2023-06-26T00:04:27.000,-97803.00344358415,-288762.8258109945,-128447.69986174125
741009887.0,2023-06-26T00:04:47.000,-96889.14635537214,-289619.65684854734,-129781.59884832973
741009907.0,2023-06-26T00:05:07.000,-96260.42298833339,-290083.388701867,-131276.9864260248
741009927.0,2023-06-26T00:05:27.000,-95599.21616125279,-291256.75644229533,-132961.07974115692
741009947.0,2023-06-26T00:05:47.000,-94669.35442125834,-291744.9250245933,-134179.89288029884
741009967.0,2023-06-26T00:06:07.000,-93987.33215494997,-292735.0469837754,-135735.63128625214
741009987.0,2023-06-26T00:06:27.000,-93182.27785483073,-293245.98742138635,-137105.3413851966
741010007.0,2023-06-26T00:06:47.000,-92485.51625809811,-294048.2452645805,-138628.66690217267
741010027.0,2023-06-26T00:07:07.000,-91936.7410566288,-294678.39424782177,-140107.9437793435
